ST,Climbs,Crags,Aid,Alpine,Boulder,Ice,Mixed,Sport,Toprope,Trad,text
AL,1563,32,1,0,958,0,0,335,103,254,Crags: 32<br>Boulder: 958<br>Sport: 335<br>Toprope: 103<br>Trad: 254<br>Alpine: 0<br>Ice: 0
AK,2061,10,21,585,338,244,60,713,216,862,Crags: 10<br>Boulder: 338<br>Sport: 713<br>Toprope: 216<br>Trad: 862<br>Alpine: 585<br>Ice: 244
AZ,10262,3,91,4,2416,0,0,4229,447,3755,Crags: 3<br>Boulder: 2416<br>Sport: 4229<br>Toprope: 447<br>Trad: 3755<br>Alpine: 4<br>Ice: 0
AR,2027,4,1,0,508,0,0,1093,60,447,Crags: 4<br>Boulder: 508<br>Sport: 1093<br>Toprope: 60<br>Trad: 447<br>Alpine: 0<br>Ice: 0
KS,185,23,0,0,177,0,0,1,8,5,Crags: 23<br>Boulder: 177<br>Sport: 1<br>Toprope: 8<br>Trad: 5<br>Alpine: 0<br>Ice: 0
CA,33874,19,295,1308,11426,109,57,9143,3425,11791,Crags: 19<br>Boulder: 11426<br>Sport: 9143<br>Toprope: 3425<br>Trad: 11791<br>Alpine: 1308<br>Ice: 109
CO,28864,82,231,1489,8545,770,542,10298,2076,10060,Crags: 82<br>Boulder: 8545<br>Sport: 10298<br>Toprope: 2076<br>Trad: 10060<br>Alpine: 1489<br>Ice: 770
CT,2075,7,1,0,1239,3,1,84,533,604,Crags: 7<br>Boulder: 1239<br>Sport: 84<br>Toprope: 533<br>Trad: 604<br>Alpine: 0<br>Ice: 3
DE,39,4,0,0,24,0,1,0,15,2,Crags: 4<br>Boulder: 24<br>Sport: 0<br>Toprope: 15<br>Trad: 2<br>Alpine: 0<br>Ice: 0
FL,27,15,0,0,26,0,0,0,1,0,Crags: 15<br>Boulder: 26<br>Sport: 0<br>Toprope: 1<br>Trad: 0<br>Alpine: 0<br>Ice: 0
GA,1046,38,6,0,753,4,1,64,121,207,Crags: 38<br>Boulder: 753<br>Sport: 64<br>Toprope: 121<br>Trad: 207<br>Alpine: 0<br>Ice: 4
HI,290,6,0,0,191,0,0,65,38,18,Crags: 6<br>Boulder: 191<br>Sport: 65<br>Toprope: 38<br>Trad: 18<br>Alpine: 0<br>Ice: 0
ID,3881,5,15,209,836,20,8,1963,390,990,Crags: 5<br>Boulder: 836<br>Sport: 1963<br>Toprope: 390<br>Trad: 990<br>Alpine: 209<br>Ice: 20
IL,1397,28,2,0,493,17,0,567,185,286,Crags: 28<br>Boulder: 493<br>Sport: 567<br>Toprope: 185<br>Trad: 286<br>Alpine: 0<br>Ice: 17
IN,105,8,0,0,100,0,0,4,3,0,Crags: 8<br>Boulder: 100<br>Sport: 4<br>Toprope: 3<br>Trad: 0<br>Alpine: 0<br>Ice: 0
IA,283,15,0,0,122,1,0,109,52,28,Crags: 15<br>Boulder: 122<br>Sport: 109<br>Toprope: 52<br>Trad: 28<br>Alpine: 0<br>Ice: 1
KY,2509,11,4,0,118,1,0,1705,40,683,Crags: 11<br>Boulder: 118<br>Sport: 1705<br>Toprope: 40<br>Trad: 683<br>Alpine: 0<br>Ice: 1
LA,2,1,0,0,2,0,0,0,0,0,Crags: 1<br>Boulder: 2<br>Sport: 0<br>Toprope: 0<br>Trad: 0<br>Alpine: 0<br>Ice: 0
ME,1161,16,3,23,400,40,4,218,165,441,Crags: 16<br>Boulder: 400<br>Sport: 218<br>Toprope: 165<br>Trad: 441<br>Alpine: 23<br>Ice: 40
MD,1526,40,8,0,724,0,0,37,587,508,Crags: 40<br>Boulder: 724<br>Sport: 37<br>Toprope: 587<br>Trad: 508<br>Alpine: 0<br>Ice: 0
MA,4563,6,2,3,3846,9,3,78,614,311,Crags: 6<br>Boulder: 3846<br>Sport: 78<br>Toprope: 614<br>Trad: 311<br>Alpine: 3<br>Ice: 9
MI,952,2,1,0,501,96,9,93,268,151,Crags: 2<br>Boulder: 501<br>Sport: 93<br>Toprope: 268<br>Trad: 151<br>Alpine: 0<br>Ice: 96
MN,1872,43,3,0,843,63,53,368,592,383,Crags: 43<br>Boulder: 843<br>Sport: 368<br>Toprope: 592<br>Trad: 383<br>Alpine: 0<br>Ice: 63
MS,77,3,2,0,48,0,0,0,25,5,Crags: 3<br>Boulder: 48<br>Sport: 0<br>Toprope: 25<br>Trad: 5<br>Alpine: 0<br>Ice: 0
MO,1121,52,0,0,460,0,1,505,127,143,Crags: 52<br>Boulder: 460<br>Sport: 505<br>Toprope: 127<br>Trad: 143<br>Alpine: 0<br>Ice: 0
MT,2639,3,16,279,645,122,51,1114,276,757,Crags: 3<br>Boulder: 645<br>Sport: 1114<br>Toprope: 276<br>Trad: 757<br>Alpine: 279<br>Ice: 122
NE,8,2,0,0,8,0,0,0,1,0,Crags: 2<br>Boulder: 8<br>Sport: 0<br>Toprope: 1<br>Trad: 0<br>Alpine: 0<br>Ice: 0
NV,4335,3,23,68,800,13,2,1741,202,1735,Crags: 3<br>Boulder: 800<br>Sport: 1741<br>Toprope: 202<br>Trad: 1735<br>Alpine: 68<br>Ice: 13
NH,5688,25,48,261,2312,333,62,992,278,2072,Crags: 25<br>Boulder: 2312<br>Sport: 992<br>Toprope: 278<br>Trad: 2072<br>Alpine: 261<br>Ice: 333
NJ,678,5,15,0,340,3,1,1,216,185,Crags: 5<br>Boulder: 340<br>Sport: 1<br>Toprope: 216<br>Trad: 185<br>Alpine: 0<br>Ice: 3
NM,5231,16,24,336,1019,21,12,2376,524,1769,Crags: 16<br>Boulder: 1019<br>Sport: 2376<br>Toprope: 524<br>Trad: 1769<br>Alpine: 336<br>Ice: 21
NY,4708,54,21,33,1280,344,98,337,1141,2292,Crags: 54<br>Boulder: 1280<br>Sport: 337<br>Toprope: 1141<br>Trad: 2292<br>Alpine: 33<br>Ice: 344
NC,3013,4,26,10,909,37,3,564,288,1595,Crags: 4<br>Boulder: 909<br>Sport: 564<br>Toprope: 288<br>Trad: 1595<br>Alpine: 10<br>Ice: 37
ND,51,10,0,0,27,0,0,7,13,13,Crags: 10<br>Boulder: 27<br>Sport: 7<br>Toprope: 13<br>Trad: 13<br>Alpine: 0<br>Ice: 0
OH,1341,6,1,0,848,2,0,218,230,105,Crags: 6<br>Boulder: 848<br>Sport: 218<br>Toprope: 230<br>Trad: 105<br>Alpine: 0<br>Ice: 2
OK,1210,10,19,0,517,0,0,160,248,447,Crags: 10<br>Boulder: 517<br>Sport: 160<br>Toprope: 248<br>Trad: 447<br>Alpine: 0<br>Ice: 0
OR,3580,8,24,74,517,25,11,1845,454,1129,Crags: 8<br>Boulder: 517<br>Sport: 1845<br>Toprope: 454<br>Trad: 1129<br>Alpine: 74<br>Ice: 25
