numb,Crags,Climbs,ST
0,BankHead Forest/ Thompson Creek Trail,2,AL
1,Bankhead Forest/Ship Rock,10,AL
2,bankhead forest/sipsey picnic area,1,AL
3,Cherokee Bluffs,32,AL
4,Chewacla State Park,18,AL
5,Colbert Heights,5,AL
6,Coosa Slabs,0,AL
7,"Dumps, The",1,AL
8,Fort Rucker Climbing Wall,0,AL
9,Griffin Falls,24,AL
10,Gulf State Park-Boulder Park,0,AL
11,Home Crag Boulders  a.k.a. Sherriff Boulders,3,AL
12,Horse Pens 40,349,AL
13,Hospital Boulders,189,AL
14,Hurricane Creek Park,10,AL
15,Hurricane Creek Park (Tuscaloosa),35,AL
16,Jamestown,49,AL
17,LaGrange,3,AL
18,Lake Smith,1,AL
19,Little River Canyon,141,AL
20,Monte Sano State Park,7,AL
21,Moss Rock Preserve,87,AL
22,Palisades Park,58,AL
23,Rainbow Mountain,37,AL
24,Sand Rock,202,AL
25,Seven Falls,3,AL
26,Smith Mountain,36,AL
27,Steele,36,AL
28,Temp HP40,98,AL
29,Trussville Boulders,25,AL
30,Tuscaloosa UA Campus,24,AL
31,Yellow Bluff,77,AL
0,Anchorage & South Central Alaska,1503,AK
1,Fairbanks and Vicinity,171,AK
2,Interior Alaska/Alaska Range,88,AK
3,Kenai Peninsula,121,AK
4,Misty Fiords National Monument,1,AK
5,Northern Alaska/Brooks Range,25,AK
6,Seward Peninsula,4,AK
7,Southeastern Alaska/Coastal Range,136,AK
8,Wrangell St. Elias NP,9,AK
9,Yukon River/Rapids area,3,AK
0,Central Arizona,3368,AZ
1,Northern Arizona,3329,AZ
2,Southern Arizona,3565,AZ
0,North-Central Arkansas,1434,AR
1,Northeast Arkansas Region,114,AR
2,Northwest Arkansas (NWA) Region,394,AR
3,River Valley and Ouachitas Region,85,AR
0,"Arboretum, The",16,KS
1,"Camp Horizon, Arkansas City",0,KS
2,Cedar Bluff,3,KS
3,Central Riverside Park,5,KS
4,"Chossy Brice, The",3,KS
5,Crappie Cove- Tuttle Creek Lake,3,KS
6,Elk City Area,21,KS
7,Elk City Lake North Shore Boulders,18,KS
