ST,type,num
AK,Aid,21
AK,Alpine,585
AK,Boulder,338
AK,Ice,244
AK,Mixed,60
AK,Sport,713
AK,Toprope,216
AK,Trad,862
AL,Aid,1
AL,Alpine,0
AL,Boulder,958
AL,Ice,0
AL,Mixed,0
AL,Sport,335
AL,Toprope,103
AL,Trad,254
AR,Aid,1
AR,Alpine,0
AR,Boulder,508
AR,Ice,0
AR,Mixed,0
AR,Sport,1093
AR,Toprope,60
AR,Trad,447
AZ,Aid,91
AZ,Alpine,4
AZ,Boulder,2416
AZ,Ice,0
AZ,Mixed,0
AZ,Sport,4229
AZ,Toprope,447
AZ,Trad,3755
CA,Aid,295
CA,Alpine,1308
CA,Boulder,11426
CA,Ice,109
CA,Mixed,57
CA,Sport,9143
CA,Toprope,3425
CA,Trad,11791
CO,Aid,231
CO,Alpine,1489
CO,Boulder,8545
CO,Ice,770
CO,Mixed,542
CO,Sport,10298
CO,Toprope,2076
CO,Trad,10060
CT,Aid,1
CT,Alpine,0
CT,Boulder,1239
CT,Ice,3
CT,Mixed,1
CT,Sport,84
CT,Toprope,533
CT,Trad,604
DE,Aid,0
DE,Alpine,0
DE,Boulder,24
DE,Ice,0
DE,Mixed,1
DE,Sport,0
DE,Toprope,15
DE,Trad,2
FL,Aid,0
FL,Alpine,0
FL,Boulder,26
FL,Ice,0
FL,Mixed,0
FL,Sport,0
FL,Toprope,1
FL,Trad,0
GA,Aid,6
GA,Alpine,0
GA,Boulder,753
GA,Ice,4
GA,Mixed,1
GA,Sport,64
GA,Toprope,121
GA,Trad,207
HI,Aid,0
HI,Alpine,0
HI,Boulder,191
HI,Ice,0
HI,Mixed,0
HI,Sport,65
HI,Toprope,38
HI,Trad,18
IA,Aid,0
IA,Alpine,0
IA,Boulder,122
IA,Ice,1
IA,Mixed,0
IA,Sport,109
IA,Toprope,52
IA,Trad,28
ID,Aid,15
ID,Alpine,209
ID,Boulder,836
ID,Ice,20
ID,Mixed,8
ID,Sport,1963
ID,Toprope,390
ID,Trad,990
IL,Aid,2
IL,Alpine,0
IL,Boulder,493
IL,Ice,17
IL,Mixed,0
IL,Sport,567
IL,Toprope,185
IL,Trad,286
IN,Aid,0
IN,Alpine,0
IN,Boulder,100
IN,Ice,0
IN,Mixed,0
IN,Sport,4
IN,Toprope,3
IN,Trad,0
KS,Aid,0
KS,Alpine,0
KS,Boulder,177
KS,Ice,0
KS,Mixed,0
KS,Sport,1
KS,Toprope,8
KS,Trad,5
KY,Aid,4
KY,Alpine,0
KY,Boulder,118
KY,Ice,1
KY,Mixed,0
KY,Sport,1705
KY,Toprope,40
KY,Trad,683
LA,Aid,0
LA,Alpine,0
LA,Boulder,2
LA,Ice,0
LA,Mixed,0
LA,Sport,0
LA,Toprope,0
LA,Trad,0
MA,Aid,2
MA,Alpine,3
MA,Boulder,3846
MA,Ice,9
MA,Mixed,3
MA,Sport,78
MA,Toprope,614
MA,Trad,311
MD,Aid,8
MD,Alpine,0
MD,Boulder,724
MD,Ice,0
MD,Mixed,0
MD,Sport,37
MD,Toprope,587
MD,Trad,508
ME,Aid,3
ME,Alpine,23
ME,Boulder,400
ME,Ice,40
ME,Mixed,4
ME,Sport,218
ME,Toprope,165
ME,Trad,441
MI,Aid,1
MI,Alpine,0
MI,Boulder,501
MI,Ice,96
MI,Mixed,9
MI,Sport,93
MI,Toprope,268
MI,Trad,151
MN,Aid,3
MN,Alpine,0
MN,Boulder,843
MN,Ice,63
MN,Mixed,53
MN,Sport,368
MN,Toprope,592
MN,Trad,383
MO,Aid,0
MO,Alpine,0
MO,Boulder,460
MO,Ice,0
MO,Mixed,1
MO,Sport,505
MO,Toprope,127
MO,Trad,143
MS,Aid,2
MS,Alpine,0
MS,Boulder,48
MS,Ice,0
MS,Mixed,0
MS,Sport,0
MS,Toprope,25
MS,Trad,5
MT,Aid,16
MT,Alpine,279
MT,Boulder,645
MT,Ice,122
MT,Mixed,51
MT,Sport,1114
MT,Toprope,276
MT,Trad,757
NC,Aid,26
NC,Alpine,10
NC,Boulder,909
NC,Ice,37
NC,Mixed,3
NC,Sport,564
NC,Toprope,288
NC,Trad,1595
ND,Aid,0
ND,Alpine,0
ND,Boulder,27
ND,Ice,0
ND,Mixed,0
ND,Sport,7
ND,Toprope,13
ND,Trad,13
NE,Aid,0
